regime_at_entry,persona,lifecycle,N,win_rate,avg_ret,median_ret,median_alpha_peak,median_size_musd,median_vol_ratio
calm,reactive,transition,259,0.5637,0.176,0.0573,0.1647,115.9068,1.5405
calm,balanced,transition,209,0.6842,0.1654,0.1196,0.1609,116.0705,1.5238
calm,n/a,n/a,179,0.5363,0.1134,0.0443,0.1624,39.934,1.6295
crisis,reactive,growth,138,0.7319,0.3576,0.2367,0.1639,113.9848,1.1756
calm,reactive,growth,116,0.4741,0.1303,-0.0234,0.1653,156.3909,1.4151
crisis,balanced,transition,109,0.8991,0.7424,0.5691,0.164,94.8891,1.3224
crisis,reactive,transition,109,0.8716,0.6641,0.3534,0.1655,121.8456,1.2541
crisis,balanced,mature,102,0.9706,0.5266,0.4622,0.1642,141.4841,1.5226
normal,reactive,transition,100,0.55,0.1108,0.0769,0.1641,128.6464,1.4168
calm,reactive,shake_out,89,0.5281,0.237,0.0211,0.1631,123.0878,1.3067
calm,reactive,insufficient_data,86,0.8488,0.425,0.3112,0.1665,66.8467,1.7914
calm,reactive,declining,77,0.5974,0.4544,0.2813,0.17,131.6552,1.7309
calm,balanced,insufficient_data,74,0.7838,0.2968,0.2476,0.1617,69.3835,1.5845
calm,balanced,mature,69,0.6232,0.0886,0.0729,0.1595,88.3,1.7646
calm,reserved,transition,68,0.6765,0.0933,0.1164,0.1628,203.8033,1.7052
calm,balanced,growth,67,0.6418,0.1786,0.1113,0.1606,175.8981,1.4654
normal,balanced,transition,66,0.6818,0.2397,0.0709,0.1616,135.0812,1.4443
normal,reactive,growth,62,0.5968,0.098,0.082,0.1647,129.7137,1.4677
crisis,balanced,growth,58,0.7414,0.2997,0.2607,0.1643,89.9693,1.3267
calm,reactive,mature,55,0.6545,0.1412,0.0639,0.1616,213.1327,1.6926
crisis,reactive,shake_out,50,0.56,0.23,0.0317,0.1647,93.5467,1.3007
calm,balanced,shake_out,50,0.66,0.218,0.136,0.1607,153.2872,1.3136
crisis,reactive,mature,49,0.9184,0.4428,0.4185,0.1649,146.7231,1.3946
normal,n/a,n/a,49,0.8367,0.184,0.1662,0.1643,57.2825,1.6931
calm,reserved,mature,42,0.6429,0.0553,0.0628,0.1634,208.3594,1.7181
calm,balanced,declining,40,0.4,0.0268,-0.0402,0.164,114.9116,1.5684
crisis,balanced,shake_out,38,0.7105,0.5347,0.3501,0.1668,83.3213,1.1571
normal,reactive,shake_out,35,0.3714,0.0222,-0.0797,0.1685,106.3736,1.5343
normal,reactive,declining,34,0.5,0.1238,-0.0005,0.1698,157.0109,1.0925
normal,reactive,insufficient_data,33,0.8485,0.3994,0.2673,0.1662,44.8914,1.3906
normal,reserved,transition,29,0.5862,0.1487,0.0826,0.1584,271.3879,1.1312
crisis,reactive,declining,28,0.6786,0.5124,0.2208,0.1743,85.1498,1.3125
crisis,balanced,insufficient_data,27,0.963,0.436,0.402,0.1585,26.5086,1.4561
normal,balanced,mature,27,0.7037,0.1709,0.1692,0.1618,135.8209,1.6702
normal,balanced,insufficient_data,26,0.8462,0.2218,0.2106,0.1581,86.7455,1.2748
crisis,n/a,n/a,22,0.7273,0.2557,0.1408,0.1665,95.8759,1.2825
crisis,reactive,insufficient_data,20,0.9,0.4181,0.3047,0.1699,92.2915,1.2776
crisis,reserved,mature,18,0.5556,0.1451,0.008,0.1673,121.8821,1.6328
crisis,reserved,transition,17,0.6471,0.1927,0.1576,0.1724,123.828,1.5711
normal,reactive,mature,17,0.5294,0.0546,0.047,0.162,154.9896,1.3922
normal,balanced,shake_out,17,0.6471,0.1836,0.0401,0.1562,199.6042,1.019
calm,reserved,declining,16,0.375,-0.0476,-0.1271,0.1602,153.0469,1.4324
normal,reserved,mature,16,0.5625,0.0068,0.025,0.1603,179.1933,1.5197
normal,balanced,declining,16,0.75,0.2219,0.1885,0.1678,151.6102,1.1673
crisis,balanced,declining,14,0.9286,0.8811,0.6855,0.1619,90.1885,1.081
normal,balanced,growth,14,0.7857,0.1283,0.0797,0.1628,302.0717,1.4313
calm,reserved,growth,8,0.875,0.4965,0.4595,0.1572,269.3618,1.2057
crisis,reserved,declining,5,1.0,0.4937,0.2808,0.1657,86.9383,1.4293
normal,reserved,declining,4,0.75,0.1093,0.1423,0.1588,131.6185,1.4534
crisis,reserved,growth,4,0.5,0.1471,-0.048,0.1865,142.0973,0.7095
calm,reserved,shake_out,4,0.25,-0.1152,-0.1018,0.1725,382.6041,0.682
calm,reserved,insufficient_data,4,0.5,0.1166,0.1335,0.1548,18.3096,0.9793
calm,herd,transition,2,0.5,0.1408,0.1408,0.1925,97.3501,1.2685
normal,reserved,insufficient_data,2,0.5,0.0062,0.0062,0.1881,62.9173,1.4175
crisis,herd,mature,1,1.0,0.4056,0.4056,0.2112,78.1973,0.8524
crisis,herd,growth,1,0.0,-0.0606,-0.0606,0.1828,0.0134,1.7459
calm,herd,insufficient_data,1,1.0,0.1562,0.1562,0.161,0.0041,0.0
calm,herd,mature,1,0.0,-0.2094,-0.2094,0.1803,0.0125,5.8369
crisis,reserved,insufficient_data,1,1.0,0.1885,0.1885,0.1715,113.377,0.8118
normal,herd,shake_out,1,0.0,-0.3757,-0.3757,0.1504,0.1425,0.066
normal,herd,insufficient_data,1,1.0,0.1129,0.1129,0.2326,0.0095,21.7233
normal,reserved,growth,1,1.0,0.5933,0.5933,0.216,503.9001,10.5602
